id,type,desc
23,Aichi Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
5,Akita Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
2,Aomori Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
12,Chiba Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
38,Ehime Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
18,Fukui Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
40,Fukuoka Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
7,Fukushima Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
21,Gifu Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
10,Gunma Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
34,Hiroshima Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
1,Hokkai Do,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
28,Hyogo Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
8,Ibaraki Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
17,Ishikawa Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
3,Iwate Ken,"Tokyo, officially Tokyo Metropolis,[6] is the capital of Japan and one of its 47 prefectures. The Greater Tokyo Area is the most populous metropolitan area in the world."
